Table name: cs3k_project_info Last updated: Apr 05, 2023 8:37 PM;;;;;;;;;;;;;;;;;;;;;;;;;
AvgSpotLen;BioSample;DATASTORE_provider;DATASTORE_region;Experiment;InsertSize;LibraryLayout;Library_Name;MBases;MBytes;Run;SRA_Sample;Sample_Name;Assay_Type;BioProject;Center_Name;Consent;DATASTORE_filetype;Instrument;LibrarySelection;LibrarySource;LoadDate;Organism;Platform;ReleaseDate;SRA_Study
;RSP10049;;;;0;PAIRED;RSP10049;;;RSP10049;RSP10049;Felina32;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10232;;;;0;PAIRED;RSP10232;;;RSP10232;RSP10232;Felina32;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10057;;;;0;PAIRED;RSP10057;;;RSP10057;RSP10057;Futura75;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10234;;;;0;PAIRED;RSP10234;;;RSP10234;RSP10234;Futura75;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10664;;;;0;PAIRED;RSP10664;;;RSP10664;RSP10664;Futura 75;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10091;;;;0;PAIRED;RSP10091;;;RSP10091;RSP10091;Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10124;;;;0;PAIRED;RSP10124;;;RSP10124;RSP10124;Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10141;;;;0;PAIRED;RSP10141;;;RSP10141;RSP10141;Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10246;;;;0;PAIRED;RSP10246;;;RSP10246;RSP10246;Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10413;;;;0;PAIRED;RSP10413;;;RSP10413;RSP10413;Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10435;;;;0;PAIRED;RSP10435;;;RSP10435;RSP10435;Girl Scout Cookies;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10703;;;;0;PAIRED;RSP10703;;;RSP10703;RSP10703;Glueberry;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10945;;;;0;PAIRED;RSP10945;;;RSP10945;RSP10945;Golden Goat 2;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10991;;;;0;PAIRED;RSP10991;;;RSP10991;RSP10991;Golden Goat 2;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10069;;;;0;PAIRED;RSP10069;;;RSP10069;RSP10069;Green Crack;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10166;;;;0;PAIRED;RSP10166;;;RSP10166;RSP10166;Green Crack;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10520;;;;0;PAIRED;RSP10520;;;RSP10520;RSP10520;Gupta Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10518;;;;0;PAIRED;RSP10518;;;RSP10518;RSP10518;Guptilla;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10098;;;;0;PAIRED;RSP10098;;;RSP10098;RSP10098;HARLE TSU;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10099;;;;0;PAIRED;RSP10099;;;RSP10099;RSP10099;HARLEQUIN TSUNAMI;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10101;;;;0;PAIRED;RSP10101;;;RSP10101;RSP10101;HARLE-TSU;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10155;;;;0;PAIRED;RSP10155;;;RSP10155;RSP10155;Hash Plant Puck;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10525;;;;0;PAIRED;RSP10525;;;RSP10525;RSP10525;Hawaiian Sunrise;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10118;;;;0;PAIRED;RSP10118;;;RSP10118;RSP10118;Headcheese;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10297;;;;0;PAIRED;RSP10297;;;RSP10297;RSP10297;Headcheese;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10154;;;;0;PAIRED;RSP10154;;;RSP10154;RSP10154;Headband;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10600;;;;0;PAIRED;RSP10600;;;RSP10600;RSP10600;Sour Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10377;;;;0;PAIRED;RSP10377;;;RSP10377;RSP10377;Hell's Fire;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10172;;;;0;PAIRED;RSP10172;;;RSP10172;RSP10172;In the Pines;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10011;;;;0;PAIRED;RSP10011;;;RSP10011;RSP10011;INCREDIBLE POWER;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10693;;;;0;PAIRED;RSP10693;;;RSP10693;RSP10693;Jamaican Lion;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10694;;;;0;PAIRED;RSP10694;;;RSP10694;RSP10694;Jamaican Lion;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10608;;;;0;PAIRED;RSP10608;;;RSP10608;RSP10608;Killawatt;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10949;;;;0;PAIRED;RSP10949;;;RSP10949;RSP10949;Kimbo Slice;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10997;;;;0;PAIRED;RSP10997;;;RSP10997;RSP10997;Kimbo Slice;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10161;;;;0;PAIRED;RSP10161;;;RSP10161;RSP10161;Kong;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10287;;;;0;PAIRED;RSP10287;;;RSP10287;RSP10287;24 Gold;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10519;;;;0;PAIRED;RSP10519;;;RSP10519;RSP10519;Krishna Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11057;;;;0;PAIRED;RSP11057;;;RSP11057;RSP11057;LA Confidential_23MAR2018;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10138;;;;0;PAIRED;RSP10138;;;RSP10138;RSP10138;Lambs Bread;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10470;;;;0;PAIRED;RSP10470;;;RSP10470;RSP10470;Lemon Meringue OG;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10193;;;;0;PAIRED;RSP10193;;;RSP10193;RSP10193;Lemon Skunk;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11058;;;;0;PAIRED;RSP11058;;;RSP11058;RSP11058;Lemon Skunk;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10946;;;;0;PAIRED;RSP10946;;;RSP10946;RSP10946;Liberty Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP11000;;;;0;PAIRED;RSP11000;;;RSP11000;RSP11000;Liberty Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10092;;;;0;PAIRED;RSP10092;;;RSP10092;RSP10092;Lucky Charms;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10251;;;;0;PAIRED;RSP10251;;;RSP10251;RSP10251;Maui Waui;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10067;;;;0;PAIRED;RSP10067;;;RSP10067;RSP10067;Moonshine Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10546;;;;0;PAIRED;RSP10546;;;RSP10546;RSP10546;Mothers Milk #5;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10598;;;;0;PAIRED;RSP10598;;;RSP10598;RSP10598;Mothers Milk;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10610;;;;0;PAIRED;RSP10610;;;RSP10610;RSP10610;Golden Ticket;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
